 	0-1                                                                                                                                                                                                                                                                                                         	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	W/m2                                                                                                                                                                                                                                                                                                        	Zero                                                                                                                                                                                                                                                                                                        	
Period	Occupation_OFFICE        	Q_heat_OFFICE            	Q_lat_hu_OFFICE          	Q_al_ht_OFFICE           	Q_ahu_sen_ht_OFFICE      	Q_ahu_sen_dh_ht_OFFICE   	Q_ahu_lat_hu_OFFICE      	Q_dhw_OFFICE             	Q_tot_ht_OFFICE          	Q_cool_OFFICE            	Q_lat_dh_OFFICE          	Q_al_cl_OFFICE           	Q_ahu_sen_cl_OFFICE      	Q_ahu_dh_cl_OFFICE       	Q_tot_cl_OFFICE          	Q_light_el_OFFICE        	Q_equip_el_OFFICE        	Q_misc_el_OFFICE         	Q_al_el_OFFICE           	Q_ahu_el_OFFICE          	Q_tot_el_OFFICE          	Q_solabs_OFFICE          	Q_intgain_OFFICE         	Q_surf_OFFICE            	Q_inf_OFFICE             	Q_vent_OFFICE            	Q_coup_OFFICE            	Q_solair_OFFICE          	Zero                     	
      1.0000       0.0000       8.4560       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       8.4560       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -6.1676      -1.7883       0.0000       0.0000       0.0000       0.0000
      2.0000       0.0000       8.8578       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       8.8578       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -7.0416      -1.8162       0.0000       0.0000       0.0000       0.0000
      3.0000       0.0000       9.4109       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       9.4109       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -7.5743      -1.8366       0.0000       0.0000       0.0000       0.0000
      4.0000       0.0000       9.7545       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       9.7545       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -7.9078      -1.8467       0.0000       0.0000       0.0000       0.0000
      5.0000       0.0000       9.9316       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       9.9316       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -8.0849      -1.8467       0.0000       0.0000       0.0000       0.0000
      6.0000       0.0000       9.9976       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       9.9976       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -8.1585      -1.8391       0.0000       0.0000       0.0000       0.0000
      7.0000       0.0000      10.0404       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0404       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -8.2026      -1.8378       0.0000       0.0000       0.0000       0.0000
      8.0000       0.0000      10.0754       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0754       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      -8.2350      -1.8404       0.0000       0.0000       0.0000       0.0000
      9.0000       1.0000       1.8400       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       1.8400       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000      10.0000       7.7778       0.0000       0.0000       0.0000      17.7778      20.3985      26.1078     -26.8866     -18.7528       0.0000       0.0000       0.0000       0.0000
