Koordinatensystem : Lambert konform konisch
Rechtswert        : 3941500 Meter
Hochwert          : 2453500 Meter
Hoehenlage        : 253 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3941500 2453500  1  1  1   2.6  995 205  1.6 7  3.6  78    0    0 301 -320  2
3941500 2453500  1  1  2   2.3  995 202  1.4 7  3.7  82    0    0 307 -320  2
3941500 2453500  1  1  3   2.1  994 204  1.3 7  3.9  85    0    0 308 -320  2
3941500 2453500  1  1  4   2.0  994 194  1.5 7  3.9  86    0    0 297 -321  2
3941500 2453500  1  1  5   2.0  994 203  1.6 6  3.9  87    0    0 291 -321  2
3941500 2453500  1  1  6   2.1  994 217  1.6 7  3.9  86    0    0 297 -321  2
3941500 2453500  1  1  7   2.1  994 215  1.0 7  3.9  86    0    0 303 -320  2
3941500 2453500  1  1  8   2.1  995 206  1.0 8  3.9  87    0    0 310 -320  2
3941500 2453500  1  1  9   1.9  995 238  1.7 8  4.0  89    0    3 316 -321  2
3941500 2453500  1  1 10   2.2  995 145  2.3 8  4.1  91    1   43 316 -323  2
3941500 2453500  1  1 11   2.7  995 211  1.5 7  4.2  91    4   74 310 -326  2
3941500 2453500  1  1 12   3.5  996 220  2.1 7  4.3  90    0   73 306 -329  2
3941500 2453500  1  1 13   4.1  996 259  1.8 6  4.4  87    3  111 302 -332  2
3941500 2453500  1  1 14   4.8  995 235  2.8 7  4.5  85    0   71 304 -333  2
3941500 2453500  1  1 15   4.6  995 240  3.3 7  4.5  83    0   49 311 -332  2
3941500 2453500  1  1 16   4.3  995 243  3.1 8  4.5  85    0   18 317 -331  2
3941500 2453500  1  1 17   4.2  995 218  3.2 8  4.6  87    0    1 324 -330  2
3941500 2453500  1  1 18   4.4  995 247  2.6 8  4.7  89    0    0 325 -330  2
3941500 2453500  1  1 19   4.6  996 301  1.8 7  4.8  89    0    0 320 -331  2
3941500 2453500  1  1 20   4.7  996 284  2.6 8  4.8  90    0    0 321 -332  2
3941500 2453500  1  1 21   4.9  996 286  3.9 8  4.9  90    0    0 327 -333  2
3941500 2453500  1  1 22   5.1  996 300  4.2 8  5.0  91    0    0 328 -334  2
3941500 2453500  1  1 23   5.4  997 305  3.4 7  5.1  92    0    0 323 -335  2
3941500 2453500  1  1 24   5.2  997 278  2.7 6  5.1  91    0    0 310 -334  2
3941500 2453500  1  2  1   5.1  998 294  2.4 8  5.1  91    0    0 316 -334  2
3941500 2453500  1  2  2   4.5  998 314  1.6 8  5.1  94    0    0 326 -334  2
3941500 2453500  1  2  3   4.6  999 278  2.2 8  5.1  95    0    0 324 -334  2
3941500 2453500  1  2  4   4.4  999 305  1.7 7  5.0  94    0    0 317 -333  2
3941500 2453500  1  2  5   4.4  999 251  1.1 7  5.0  94    0    0 309 -333  2
3941500 2453500  1  2  6   4.6 1000 270  1.0 8  5.0  94    0    0 316 -332  2
3941500 2453500  1  2  7   4.3 1000 217  1.6 7  5.0  95    0    0 315 -332  2
3941500 2453500  1  2  8   4.4 1000 202  1.5 7  5.0  94    0    0 307 -332  2
3941500 2453500  1  2  9   4.0 1000 221  2.3 8  4.8  92    1   11 311 -332  2
3941500 2453500  1  2 10   4.1 1001 109  2.0 6  4.7  91   41   54 305 -332  2
3941500 2453500  1  2 11   5.1 1001 177  2.2 3  4.6  86  132   70 275 -333  2
3941500 2453500  1  2 12   6.3 1001 162  1.7 3  4.7  81  142  107 259 -336  2
3941500 2453500  1  2 13   6.6 1001 178  2.3 3  4.7  78  158  112 261 -341  2
3941500 2453500  1  2 14   6.2 1001 210  1.7 3  4.7  77  142  103 262 -345  2
3941500 2453500  1  2 15   6.2 1001 225  2.5 4  4.6  76   70   92 269 -345  2
3941500 2453500  1  2 16   4.9 1001 196  3.6 4  4.4  78   22   50 274 -341  2
3941500 2453500  1  2 17   3.0 1000 208  2.6 5  4.2  83    0    7 274 -334  2
3941500 2453500  1  2 18   2.6 1000 184  1.7 7  4.1  87    0    0 287 -325  2
3941500 2453500  1  2 19   2.4 1000 225  2.0 8  4.1  89    0    0 303 -320  2
3941500 2453500  1  2 20   2.1 1000 216  1.7 8  4.1  90    0    0 308 -319  2
3941500 2453500  1  2 21   1.9 1000 198  1.7 8  4.0  90    0    0 306 -318  2
3941500 2453500  1  2 22   2.0 1000 200  2.0 8  3.9  89    0    0 304 -318  2
3941500 2453500  1  2 23   2.1 1000 198  1.7 8  3.9  88    0    0 304 -316  2
3941500 2453500  1  2 24   2.3 1000 198  2.5 7  4.0  88    0    0 301 -315  2
3941500 2453500  1  3  1   2.5  999 190  2.2 8  3.9  86    0    0 300 -314  2
3941500 2453500  1  3  2   1.5  999 224  2.0 8  3.9  87    0    0 304 -314  2
3941500 2453500  1  3  3   1.4  999 216  2.3 7  3.8  88    0    0 297 -314  2
3941500 2453500  1  3  4   0.9  999 265  1.8 6  3.7  88    0    0 285 -313  2
3941500 2453500  1  3  5   0.8  999 242  1.6 7  3.6  89    0    0 283 -312  2
3941500 2453500  1  3  6   1.0  999 188  2.2 6  3.7  90    0    0 284 -312  2
3941500 2453500  1  3  7   1.2  999 174  2.2 6  3.8  91    0    0 279 -312  2
