 	0-1                                                                                                                                                                                                                                                                                                         	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	%                                                                                                                                                                                                                                                                                                           	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	g/kg                                                                                                                                                                                                                                                                                                        	°C                                                                                                                                                                                                                                                                                                          	°C                                                                                                                                                                                                                                                                                                          	1/h                                                                                                                                                                                                                                                                                                         	m3                                                                                                                                                                                                                                                                                                          	0/1                                                                                                                                                                                                                                                                                                         	0                                                                                                                                                                                                                                                                                                           	
Period	Occupation_OFFICE        	Tamb                     	X_amb                    	Tamb_m24                 	Tamb_g24                 	Tset_cl_OFFICE           	Tset_ht_OFFICE           	Tair_OFFICE              	Top_OFFICE               	ATop_OFFICE              	ATair_OFFICE             	Tdp_OFFICE               	X_OFFICE                 	Arh_OFFICE               	Tsup_al_OFFICE           	Tout_al_OFFICE           	Tsurf_al_OFFICE          	Tsup_mv_OFFICE           	X_mv_OFFICE              	Tearthd_OFFICE           	Thrc_OFFICE              	ACR_tot_OFFICE           	Vol_OFFICE               	SHD_active_OFFICE        	Zero                     	
      1.0000       0.0000       2.5625       3.5381       4.9370       5.0000      26.0000      20.0000      20.1750      19.9644       0.0000       0.0000       9.1775       7.2000       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.5625       0.0000       0.1000      54.0000       0.0000       0.0000
      2.0000       0.0000       2.3125       3.6490       4.8293       5.0000      26.0000      20.0000      20.2000      19.9598       0.0000       0.0000       8.9350       7.0819       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.3125       0.0000       0.1000      54.0000       0.0000       0.0000
      3.0000       0.0000       2.1125       3.7242       4.7118       5.0000      26.0000      20.0000      20.2000      19.9417       0.0000       0.0000       8.7033       6.9707       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.1125       0.0000       0.1000      54.0000       0.0000       0.0000
      4.0000       0.0000       2.0125       3.7524       4.5885       5.0000      26.0000      20.0000      20.2000      19.9303       0.0000       0.0000       8.4794       6.8648       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.0125       0.0000       0.1000      54.0000       0.0000       0.0000
      5.0000       0.0000       2.0125       3.7854       4.4637       5.0000      26.0000      20.0000      20.2000      19.9243       0.0000       0.0000       8.2621       6.7634       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.0125       0.0000       0.1000      54.0000       0.0000       0.0000
      6.0000       0.0000       2.0875       3.7782       4.3412       5.0000      26.0000      20.0000      20.2000      19.9219       0.0000       0.0000       8.0500       6.6657       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.0875       0.0000       0.1000      54.0000       0.0000       0.0000
      7.0000       0.0000       2.1000       3.7816       4.2203       5.0000      26.0000      20.0000      20.2000      19.9204       0.0000       0.0000       7.8417       6.5710       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.1000       0.0000       0.1000      54.0000       0.0000       0.0000
      8.0000       0.0000       2.0750       3.8189       4.0992       5.0000      26.0000      20.0000      20.2000      19.9193       0.0000       0.0000       7.6392       6.4801       0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       2.0750       0.0000       0.1000      54.0000       0.0000       0.0000
      9.0000       1.0000       1.9625       3.8702       3.9739       5.0000      26.0000      20.0000      20.4313      20.6139      20.6139      20.4313       7.8063       6.5553      43.9970       0.0000       0.0000       0.0000       0.0000       0.0000       1.9625       0.0000       1.0000      54.0000       0.0000       0.0000
     10.0000       1.0000       2.2250       4.0222       3.8530       5.0000      26.0000      20.0000      22.7757      23.2681      23.2681      22.7757       8.2826       6.7731      39.4023       0.0000       0.0000       0.0000       0.0000       0.0000       2.2250       0.0000       1.0000      54.0000       0.0000       0.0000
     11.0000       1.0000       2.7375       4.1784       3.7499       5.0000      26.0000      20.0000      25.7981      26.3694      26.3694      25.7981       8.7095       6.9738      33.8305       0.0000       0.0000       0.0000       0.0000       0.0000       2.7375       0.0000       1.0000      54.0000       0.0000       0.0000
     12.0000       1.0000       3.4750       4.3489       3.6747       5.0000      26.0000      20.0000      28.5670      29.1344      29.1344      28.5670       9.1069       7.1656      29.5292       0.0000       0.0000       0.0000       0.0000       0.0000       3.4750       0.0000       1.0000      54.0000       0.0000       0.0000
     13.0000       1.0000       4.1125       4.4159       3.6279       5.0000      26.0000      20.0000      31.2352      31.9244      31.9244      31.2352       9.4512       7.3355      25.9338       0.0000       0.0000       0.0000       0.0000       0.0000       4.1125       0.0000       1.0000      54.0000       0.0000       0.0000
